Essay Name,Essay Filename
१) सत्यमेव विजयते,c1
२) उत्तमः धर्मः,c2
३) प्रश्नत्रयम्,c3
४) शर्मिष्ठा,c4
५) अप्रशिख,c5
६) चतुरः शशकः,c6
७) दुष्टैः सह वासः,c7
८) सत्यान्नास्ति परो धर्मः,c8
९) दृष्टिभेदः,c9
१०) ध्रुवचरितम्,c10
