Sanskrit Line,Translation,Words To Explain,Explanation
अस्माकं देशे गङ्गायमुनादयः बह्वयः नद्यः प्रवहन्ति । ,"In our country, many rivers like the Gaṅgā and Yamunā flow.","बह्व्यः, नद्यः, प्रवहन्ति","explanation 1, explanation 2, explanation 3"
सर्वापि नदी कस्यचित् गिरेरेव । ,Every river originates from some mountain.,,
हिमालयात् गङ्गा निस्सरति कलिन्दगिरेः यमुना प्रादुर्भवति । ,"The Gaṅgā emerges from the Himālaya, and the Yamunā originates from the Kalinda mountain.",हिमालयात्,explanation himalayat
एवं नद्यः तत्तत्पर्वतेभ्यः निस्सरन्ति । ,"Similarly, rivers emerge from their respective mountains.",,
अत एव कवयः पर्वतानां पुत्रिकाः नद्यः इति व्यवहरन्ति । ,"Therefore, poets refer to rivers as the daughters of mountains.","पुत्रिकाः, व्यवहरन्ति","explanation putrikaah, explanation vyavaharanti"
सर्वाः एताः नद्यः पूर्वसमुद्रे सम्मिलन्ति । ,All these rivers merge into the eastern ocean.,"सर्वाः, एताः, नद्यः, पूर्वसमुद्रे","explanation 4, explanation 5, explanation 6, explanation 7, "
‘नदीनां सागरो गतिः' इति वचनानुसारं समुद्र एव समस्ताः नद्यः विलीयन्ते । ,"According to the saying ""the ocean is the destination of rivers,"" all rivers ultimately dissolve into the ocean.",वचनानुसारं,explanation vachanaanusaaram
